_id,id_producto,nombre_producto,precio,stock,categoria
69f3b261ffb8e595b34f0fde,1,Producto 1,15000,2,Categoria 2
69f3b261ffb8e595b34f0fdf,2,Producto 2,20000,4,Categoria 3
69f3b261ffb8e595b34f0fe0,3,Producto 3,25000,6,Categoria 4
69f3b261ffb8e595b34f0fe1,4,Producto 4,30000,8,Categoria 5
69f3b261ffb8e595b34f0fe2,5,Producto 5,35000,10,Categoria 6
69f3b261ffb8e595b34f0fe3,6,Producto 6,40000,12,Categoria 1
69f3b261ffb8e595b34f0fe4,7,Producto 7,45000,14,Categoria 2
69f3b261ffb8e595b34f0fe5,8,Producto 8,50000,16,Categoria 3
69f3b261ffb8e595b34f0fe6,9,Producto 9,55000,18,Categoria 4
69f3b261ffb8e595b34f0fe7,10,Producto 10,60000,20,Categoria 5
69f3b261ffb8e595b34f0fe8,11,Producto 11,65000,22,Categoria 6
69f3b261ffb8e595b34f0fe9,12,Producto 12,70000,24,Categoria 1
69f3b261ffb8e595b34f0fea,13,Producto 13,75000,26,Categoria 2
69f3b261ffb8e595b34f0feb,14,Producto 14,80000,28,Categoria 3
69f3b261ffb8e595b34f0fec,15,Producto 15,85000,30,Categoria 4
69f3b261ffb8e595b34f0fed,16,Producto 16,90000,32,Categoria 5
69f3b261ffb8e595b34f0fee,17,Producto 17,95000,34,Categoria 6
69f3b261ffb8e595b34f0fef,18,Producto 18,100000,36,Categoria 1
69f3b261ffb8e595b34f0ff0,19,Producto 19,105000,38,Categoria 2
69f3b261ffb8e595b34f0ff1,20,Producto 20,110000,40,Categoria 3
69f3b261ffb8e595b34f0ff2,21,Producto 21,115000,42,Categoria 4
69f3b261ffb8e595b34f0ff3,22,Producto 22,120000,44,Categoria 5
69f3b261ffb8e595b34f0ff4,23,Producto 23,125000,46,Categoria 6
69f3b261ffb8e595b34f0ff5,24,Producto 24,130000,48,Categoria 1
69f3b261ffb8e595b34f0ff6,25,Producto 25,135000,50,Categoria 2
69f3b261ffb8e595b34f0ff7,26,Producto 26,140000,52,Categoria 3
69f3b261ffb8e595b34f0ff8,27,Producto 27,145000,54,Categoria 4
69f3b261ffb8e595b34f0ff9,28,Producto 28,150000,56,Categoria 5
69f3b261ffb8e595b34f0ffa,29,Producto 29,155000,58,Categoria 6
69f3b261ffb8e595b34f0ffb,30,Producto 30,160000,60,Categoria 1
69f3b261ffb8e595b34f0ffc,31,Producto 31,165000,62,Categoria 2
69f3b261ffb8e595b34f0ffd,32,Producto 32,170000,64,Categoria 3
69f3b261ffb8e595b34f0ffe,33,Producto 33,175000,66,Categoria 4
69f3b261ffb8e595b34f0fff,34,Producto 34,180000,68,Categoria 5
69f3b261ffb8e595b34f1000,35,Producto 35,185000,70,Categoria 6
69f3b261ffb8e595b34f1001,36,Producto 36,190000,72,Categoria 1
69f3b261ffb8e595b34f1002,37,Producto 37,195000,74,Categoria 2
69f3b261ffb8e595b34f1003,38,Producto 38,200000,76,Categoria 3
69f3b261ffb8e595b34f1004,39,Producto 39,205000,78,Categoria 4
69f3b261ffb8e595b34f1005,40,Producto 40,210000,80,Categoria 5
69f3b261ffb8e595b34f1006,41,Producto 41,215000,82,Categoria 6
69f3b261ffb8e595b34f1007,42,Producto 42,220000,84,Categoria 1
69f3b261ffb8e595b34f1008,43,Producto 43,225000,86,Categoria 2
69f3b261ffb8e595b34f1009,44,Producto 44,230000,88,Categoria 3
69f3b261ffb8e595b34f100a,45,Producto 45,235000,90,Categoria 4
69f3b261ffb8e595b34f100b,46,Producto 46,240000,92,Categoria 5
69f3b261ffb8e595b34f100c,47,Producto 47,245000,94,Categoria 6
69f3b261ffb8e595b34f100d,48,Producto 48,250000,96,Categoria 1
69f3b261ffb8e595b34f100e,49,Producto 49,255000,98,Categoria 2
69f3b261ffb8e595b34f100f,50,Producto 50,260000,100,Categoria 3
